project,version,original_tests,sample_size,universe_elements,cgtsr_retention_percent,random_mean_retention_percent,random_median_retention_percent,random_sd_retention_percent,random_p2_5_percent,random_p97_5_percent,random_min_percent,random_max_percent,random_full_coverage_trials,empirical_p_full_coverage,repetitions,release_seed
attrs,24.1.0,1334,190,4400,100.0,74.49225,74.43181818181819,2.19246442316352,70.11193181818182,78.79772727272727,68.0909090909091,81.11363636363636,0,0.000999000999000999,1000,20260915
attrs,25.3.0,1346,189,4476,100.0,74.42439678284182,74.4414655942806,2.2745238357049526,69.9508489722967,78.8656166219839,67.47095621090259,80.83109919571045,0,0.000999000999000999,1000,20260916
attrs,26.1.0,1385,198,4774,100.0,75.0788646837034,75.17804775869293,2.095767749174901,70.82059069962297,78.82697947214075,67.84666945957268,82.38374528697109,0,0.000999000999000999,1000,20260917
cattrs,24.1.0,789,120,6152,100.0,77.39908972691808,77.65767230169051,3.0781835341841455,70.51121586475942,83.17660923276982,64.82444733420026,86.2483745123537,0,0.000999000999000999,1000,20260918
cattrs,25.3.0,937,135,6504,100.0,77.86789667896679,78.02121771217712,2.907893164571491,71.65821033210332,82.93396371463714,66.89729397293974,85.14760147601476,0,0.000999000999000999,1000,20260919
cattrs,26.1.0,972,141,6786,100.0,77.6896993810787,77.82198644267609,2.712461349010262,72.16327733569113,82.52505157677571,67.91924550545241,85.16062481579723,0,0.000999000999000999,1000,20260920
boltons,24.1.0,418,178,8021,100.0,64.86660017454183,64.76748535095375,4.797332578944112,55.02898641067198,73.93248971449944,50.56726094003241,79.62847525246228,0,0.000999000999000999,1000,20260921
boltons,25.0.0,422,181,8072,100.0,64.86715807730427,65.00247770069376,4.693019680989366,56.240398909811695,74.2356293359762,50.23538156590684,79.70763131813676,0,0.000999000999000999,1000,20260922
boltons,26.1.0,444,196,8401,100.0,66.74224497083681,66.68253779311986,4.244747126068399,58.7620521366504,75.43328175217236,53.93405546958695,81.44268539459588,0,0.000999000999000999,1000,20260923
more-itertools,10.5.0,664,272,4191,100.0,74.02233357193987,74.02767835838702,2.85515772160774,67.97840610832738,79.1696492483894,65.47363397757098,83.10665712240515,0,0.000999000999000999,1000,20260924
more-itertools,10.8.0,696,286,4499,100.0,74.09546565903534,74.17203823071793,2.6190880054750107,68.81418092909536,78.9286508112914,65.54789953322961,80.57346076905979,0,0.000999000999000999,1000,20260925
more-itertools,11.1.0,722,295,4723,100.0,73.52921871691721,73.59728985814101,2.550456023283496,68.38820664831675,78.38238407791658,65.61507516409063,80.39381748888418,0,0.000999000999000999,1000,20260926
