project,version,full_mean_seconds,full_median_seconds,full_sd_seconds,reduced_mean_seconds,reduced_median_seconds,reduced_sd_seconds,median_runtime_reduction_pct,median_speedup,paired_mean_runtime_reduction_pct,reduced_faster_pairs,total_pairs
attrs,24.1.0,11.763743180000166,11.939598100001604,0.32955196245451085,4.037448459999723,4.0902305000017805,0.16083058406372308,65.7423100363719,2.9190526304071143,65.65635855471245,5,5
attrs,25.3.0,11.322504300000583,11.229202100003022,0.2922287758685983,3.3977954000001773,3.3817266000005475,0.12408884640468427,69.88453347010615,3.320552909274571,69.95873692461782,5,5
attrs,26.1.0,11.509018260000449,11.53581960000156,0.1892801490314102,3.485377040000458,3.538113900001917,0.17552281151881657,69.32932359655278,3.2604432548074014,69.70208682976705,5,5
cattrs,24.1.0,542.2817738400001,535.9975730999977,19.362765716544867,97.7948841599995,96.78161650000038,11.817716252139356,81.94364650939484,5.538216786242618,81.90550174897976,5,5
cattrs,25.3.0,209.58677949999839,211.7913350999952,8.183468672715632,41.733030700000384,41.34716549999939,1.3163428919208646,80.47740457347902,5.122269750268572,80.05258743672024,5,5
cattrs,26.1.0,221.76297680000135,221.9026778999978,7.686720427283147,44.4934677199999,44.43818359999568,2.111758223233806,79.97402103456268,4.993513684029591,79.9347699990778,5,5
boltons,24.1.0,2.016795979997551,2.0243503999954555,0.08678714122446884,1.9454768200026593,1.9475935000009488,0.025666591678368985,3.7916805309337285,1.0394111502192163,3.377839600663735,4,5
boltons,25.0.0,2.041953939999803,2.023845199997595,0.049588617798335205,1.9513678600007551,1.938179899996612,0.0525130281544467,4.232799030335167,1.0441988383024365,4.436082282972945,5,5
boltons,26.1.0,2.533082099999592,2.5197397000010824,0.039643337979889434,2.425741300001391,2.397112999999081,0.054682256139470746,4.866641582142351,1.051155994732851,4.223052142740572,5,5
more-itertools,10.5.0,2.5358128200023202,2.5125977999996394,0.046465716415197145,1.7536562599998433,1.7269229999947129,0.09913156061304848,31.26942163226599,1.4549564746125518,30.88179842441234,5,5
more-itertools,10.8.0,19.417236260001665,19.458174899998998,0.46431486728540156,15.933185660000891,15.805159100003948,0.3599055978344003,18.77368159536503,1.231128062481455,17.914162934338048,5,5
more-itertools,11.1.0,24.381791579999845,24.396728100000477,0.12164165707548391,21.356157760000496,21.42061829999875,0.8046683164543166,12.198807101521405,1.1389366897967599,12.406909402296318,5,5
