project,version,repetition,full_seconds,reduced_seconds,difference_seconds,runtime_reduction_pct,speedup,reduced_faster
more-itertools,10.5.0,2,2.5093851999990875,1.7000298999992085,0.809355299999879,32.253131165361665,1.4760829794818644,True
more-itertools,10.5.0,3,2.5125977999996394,1.7269229999947129,0.7856748000049265,31.26942163226599,1.4549564746125518,True
more-itertools,10.5.0,4,2.559861500005354,1.7802749999973455,0.7795865000080087,30.454245278753486,1.4379022903816383,True
more-itertools,10.5.0,5,2.6055880000058096,1.910074400002486,0.6955136000033235,26.6931533305255,1.3641290621990527,True
more-itertools,10.8.0,1,20.013133300002664,16.428242699999828,3.5848906000028364,17.91269036319445,1.2182150985633342,True
more-itertools,10.8.0,2,18.925470300004235,15.805159100003948,3.1203112000002875,16.487364121142022,1.1974235868337135,True
more-itertools,10.8.0,3,18.98887310000282,16.178477000001294,2.810396100001526,14.800225822779913,1.1737120311140103,True
more-itertools,10.8.0,4,19.700529699999606,15.69417770000291,4.006351999996696,20.33626537461465,1.255276324543971,True
more-itertools,10.8.0,5,19.458174899998998,15.559871799996472,3.8983031000025257,20.03426898995921,1.2505356824343121,True
more-itertools,11.1.0,1,24.396728100000477,21.514143699998385,2.8825844000020915,11.815454876516966,1.1339855510959662,True
more-itertools,11.1.0,2,24.273524099997303,20.922192800004268,3.351331299993035,13.806529641871851,1.1601806910025392,True
more-itertools,11.1.0,3,24.45513589999609,22.54592669999693,1.909209199999161,7.806986670638237,1.0846808927130691,True
more-itertools,11.1.0,4,24.24745420000545,21.42061829999875,2.8268359000066994,11.658279160729641,1.1319679880578828,True
more-itertools,11.1.0,5,24.536115599999903,20.377907300004157,4.158208299995746,16.9472966617249,1.2040547264632466,True
