project,original_tests,selected_tests,pooled_test_reduction_pct,releases,mean_median_runtime_reduction_pct,median_runtime_reduction_pct,min_runtime_reduction_pct,max_runtime_reduction_pct,median_speedup
attrs,4065,577,85.80565805658057,3,68.31872236767695,69.32932359655278,65.7423100363719,69.88453347010615,3.2604432548074014
cattrs,2698,396,85.32246108228317,3,80.79835737247885,80.47740457347902,79.97402103456268,81.94364650939484,5.122269750268572
boltons,1284,555,56.77570093457944,3,4.297040381137083,4.232799030335167,3.7916805309337285,4.866641582142351,1.0441988383024365
more-itertools,2082,853,59.029779058597505,3,20.747303443050807,18.77368159536503,12.198807101521405,31.26942163226599,1.231128062481455
