project,releases,mean_median_runtime_reduction_pct,median_runtime_reduction_pct,min_runtime_reduction_pct,max_runtime_reduction_pct,median_speedup
attrs,3,68.31872236767695,69.32932359655278,65.7423100363719,69.88453347010615,3.2604432548074014
cattrs,3,80.79835737247885,80.47740457347902,79.97402103456268,81.94364650939484,5.122269750268572
boltons,3,4.297040381137083,4.232799030335167,3.7916805309337285,4.866641582142351,1.0441988383024365
more-itertools,3,20.747303443050807,18.77368159536503,12.198807101521405,31.26942163226599,1.231128062481455
